Respondent_ID,Employment_Status,Highest_Education_Level,Age_Group,Current_City_Residence,Monthly_Household_Income_Range_XAF,Household_Size_Supported,Bulk_Food_Purchase_Frequency,Percentage_Income_To_Food,Reduced_Food_Quality_Quantity,Monthly_Food_Spend_XAF,Estimated_Food_Bill_Increase_Percent,Most_Dramatic_Increased_Food_Item,Monthly_Transport_Spend_XAF,Fuel_Prices_Increased_Transport_Cost,Primary_Transportation_Mode,Paid_Transport_Trips_Per_Week,Estimated_5Yr_Transport_Fare_Increase_Percent,Times_Moved_Due_To_Rent,Frequent_Power_Cuts_Extra_Spend,Percentage_Income_To_Rent,Monthly_Rent_XAF,Monthly_Utilities_Combined_XAF,Rent_Increased_Last_2_Years,Skipped_Medical_Treatment_Cost,Schooling_Cost_Increased_3Yrs,Has_Health_Insurance,Average_Monthly_Healthcare_Spend_XAF,School_Fees_Per_Child_Per_Term_XAF,Highest_Burden_Expenditure_Category,Expect_Cost_Of_Living_Increase_5Yrs,Taken_Coping_Measures,Primary_Contributor_To_Cost_Of_Living,Year_Noticeable_Impact
RESP_0001,Student,PhD / Doctorate,55+,Bamenda,"50,000 - 100,000 XAF",2,Always,41% - 60%,Yes,30295,146,Plantains/Cassava,15163,Yes,Shared Taxi,5,91,3+,Yes,34%,26033,11188,Yes,Yes,Yes,No,21270,25000,Education,Unsure,No,Global market crisis / Import costs,2023
RESP_0002,Employed full-time,Primary School,45-54,Yaoundé,"Under 50,000 XAF",8,Sometimes,41% - 60%,Yes,19873,49,Cooking Oil,6702,Yes,Moto-taxi,8,79,2,Yes,0%,0,28263,No,Yes,Yes,No,38119,50000,Food,Yes,No,Global market crisis / Import costs,2020
RESP_0003,Retired,Bachelor's Degree,45-54,Maroua,"500,001 - 1,000,000 XAF",5,Rarely,Above 60%,No,306492,26,Meat/Fish,117379,Yes,Personal Car,3,72,1,Yes,30%,231544,20226,Yes,Yes,Yes,Yes,2803,25000,Housing/Rent,Yes,Yes,Climate change / Poor harvests,2021
RESP_0004,Self-employed/Entrepreneur,Master's Degree,55+,Buea,"250,001 - 500,000 XAF",3,Rarely,Under 20%,No,105186,89,Cooking Oil,73650,Yes,Shared Taxi,3,36,0,Yes,42%,149856,15346,No,Yes,Yes,No,26062,0,Education,No,Yes,Government taxes,2020
RESP_0005,Unemployed,PhD / Doctorate,18-24,Bafoussam,"250,001 - 500,000 XAF",6,Often,Under 20%,No,144419,51,Meat/Fish,35630,Yes,Bus / Coaster,7,90,3+,Yes,35%,123687,19161,Yes,Yes,Yes,Yes,15686,25000,Utilities (Water/Electricity),Yes,No,Global market crisis / Import costs,2021
RESP_0006,Retired,Secondary School,35-44,Buea,"500,001 - 1,000,000 XAF",3,Always,Above 60%,Yes,383282,122,Bread,97085,Yes,Bus / Coaster,10,97,3+,Yes,35%,267835,15969,No,Yes,Yes,No,21357,25000,Food,Yes,No,Climate change / Poor harvests,2020
RESP_0007,Student,Bachelor's Degree,55+,Bafoussam,"Under 50,000 XAF",2,Always,Under 20%,Yes,20073,93,Onions/Tomato,4349,No,Shared Taxi,2,73,0,Yes,35%,14249,25546,No,Yes,Yes,No,40806,350000,Transportation,No,No,Climate change / Poor harvests,2022
RESP_0008,Employed full-time,PhD / Doctorate,25-34,Douala,"50,000 - 100,000 XAF",7,Often,41% - 60%,Yes,27398,99,Onions/Tomato,17476,Yes,Bus / Coaster,3,71,1,Yes,44%,33526,22107,No,No,Yes,No,44778,0,Education,Yes,Yes,Fuel price hikes,2025
RESP_0009,Self-employed/Entrepreneur,Master's Degree,45-54,Garoua,"250,001 - 500,000 XAF",3,Always,Under 20%,Yes,180758,45,Rice,35680,Yes,Bus / Coaster,10,98,3+,Yes,30%,107497,14505,No,Yes,No,No,36722,150000,Transportation,Yes,No,Fuel price hikes,2024
RESP_0010,Employed full-time,PhD / Doctorate,35-44,Bafoussam,"50,000 - 100,000 XAF",4,Always,Above 60%,Yes,31778,58,Rice,18148,Yes,Bus / Coaster,14,85,3+,Yes,23%,17912,17492,Yes,Yes,No,No,37036,150000,Food,Yes,Yes,Global market crisis / Import costs,2025
RESP_0011,Self-employed/Entrepreneur,Secondary School,18-24,Bamenda,"50,000 - 100,000 XAF",1,Rarely,41% - 60%,Yes,31444,109,Meat/Fish,17200,Yes,Bus / Coaster,11,65,0,Yes,24%,18190,11267,Yes,No,No,No,43561,600000,Utilities (Water/Electricity),Unsure,No,Government taxes,2025
